town,ward,precinct,office,district,party,candidate,votes
Rockland,-,3,President,,Libertarian,Aaron Russo,0
Westwood,-,4,President,,Democratic,Al Sharpton,7
Braintree,-,12,President,,Green-Rainbow,No Preference,1
Somerset,-,4,President,,Republican,Total Votes Cast,25
Haverhill,4,3,President,,Green-Rainbow,Blank Votes,0
Lowell,7,2,President,,Democratic,Dennis J. Kucinich,1
N. Adams,2,2,President,,Green-Rainbow,Paul Glover,0
Framingham,-,10,President,,Green-Rainbow,Total Votes Cast,1
Worcester,6,2,President,,Libertarian,Ruben Perez,1
Boston,15,6,President,,Libertarian,Total Votes Cast,0
Cheshire,-,1,President,,Democratic,No Preference,1
N. Adams,2,2,President,,Democratic,Carol Moseley Braun,0
Holyoke,3,B,President,,Libertarian,Gary Nolan,0
Wellesley,-,G,President,,Democratic,John Edwards,72
Webster,-,3,President,,Libertarian,No Preference,1
Boston,18,12,President,,Democratic,Total Votes Cast,289
New Bedford,2,B,President,,Democratic,Howard Dean,1
Reading,-,6,President,,Green-Rainbow,Blank Votes,0
Wakefield,-,4,President,,Democratic,Richard E. Gephardt,1
Haverhill,2,3,President,,Democratic,Total Votes Cast,131
Southwick,-,3,President,,Libertarian,Blank Votes,0
Greenfield,-,4,President,,Republican,George W. Bush,20
Boston,4,8,President,,Green-Rainbow,Total Votes Cast,1
Braintree,-,8,President,,Green-Rainbow,Kent Mesplay,0
Boston,1,6,President,,Democratic,Richard E. Gephardt,0
Boston,16,8,President,,Democratic,No Preference,1
Waltham,3,2,President,,Green-Rainbow,Lorna Salzman,0
Barre,-,2,President,,Democratic,Wesley K. Clark,2
Tewksbury,-,1A,President,,Libertarian,All Others,0
Amesbury,-,2,President,,Green-Rainbow,All Others,1
Webster,-,4,President,,Libertarian,No Preference,0
Springfield,3,E,President,,Libertarian,Jeffrey Diket,0
Nahant,-,1,President,,Democratic,John Edwards,94
Pepperell,-,2,President,,Democratic,Wesley K. Clark,1
Duxbury,-,4,President,,Green-Rainbow,Total Votes Cast,0
Swampscott,-,5,President,,Green-Rainbow,No Preference,0
Arlington,-,9,President,,Democratic,"Lyndon H. LaRouche, Jr.",0
Revere,3,3,President,,Democratic,All Others,1
Somerville,6,1,President,,Democratic,Blank Votes,6
Wakefield,-,6,President,,Libertarian,Ruben Perez,0
Brockton,5,C,President,,Democratic,Total Votes Cast,168
Newbury,-,2,President,,Green-Rainbow,Blank Votes,0
Newton,5,3,President,,Democratic,No Preference,0
Boston,20,15,President,,Green-Rainbow,Lorna Salzman,1
Hudson,-,5,President,,Democratic,Joseph Lieberman,5
Brookline,-,14,President,,Democratic,Dennis J. Kucinich,29
Arlington,-,18,President,,Democratic,Howard Dean,8
Hatfield,-,1,President,,Democratic,All Others,0
Lunenburg,-,C,President,,Democratic,Wesley K. Clark,0
Quincy,1,5,President,,Libertarian,Blank Votes,0
Danvers,-,6,President,,Democratic,No Preference,1
Middleborough,-,1,President,,Libertarian,Jeffrey Diket,0
Pittsfield,2,B,President,,Libertarian,Aaron Russo,0
Westford,-,1,President,,Democratic,No Preference,0
Pembroke,-,1,President,,Democratic,Carol Moseley Braun,0
Lowell,2,1,President,,Democratic,Total Votes Cast,44
Quincy,4,1,President,,Green-Rainbow,Lorna Salzman,0
Weymouth,-,17,President,,Democratic,Howard Dean,4
Harwich,-,2,President,,Green-Rainbow,No Preference,0
Boston,4,9,President,,Republican,Total Votes Cast,2
Weymouth,-,3,President,,Democratic,Howard Dean,7
Chicopee,1,A,President,,Democratic,Carol Moseley Braun,1
Quincy,4,2,President,,Democratic,Howard Dean,3
Boston,6,4,President,,Green-Rainbow,All Others,0
Needham,-,E,President,,Green-Rainbow,Kent Mesplay,0
Newton,6,3,President,,Libertarian,Michael Badnarik,0
Peabody,2,3,President,,Libertarian,Blank Votes,0
Longmeadow,-,B,President,,Green-Rainbow,All Others,0
Fall River,2,B,President,,Democratic,Al Sharpton,0
Andover,-,3,President,,Green-Rainbow,David Cobb,0
Randolph,-,1,President,,Republican,Blank Votes,0
Melrose,5,1,President,,Green-Rainbow,David Cobb,0
Longmeadow,-,A,President,,Democratic,Al Sharpton,5
Palmer,-,4,President,,Democratic,John F. Kerry,155
Boston,7,9,President,,Democratic,All Others,2
Brockton,5,B,President,,Green-Rainbow,No Preference,0
Chicopee,6,BW,President,,Green-Rainbow,Blank Votes,0
Yarmouth,-,1,President,,Democratic,John Edwards,75
Boston,18,16,President,,Democratic,Blank Votes,3
Pittsfield,6,A,President,,Green-Rainbow,All Others,0
Boston,21,9,President,,Democratic,John Edwards,41
Worcester,10,4,President,,Libertarian,Total Votes Cast,0
Milford,-,1,President,,Green-Rainbow,Total Votes Cast,1
Westford,-,4,President,,Democratic,Wesley K. Clark,1
Winthrop,-,3,President,,Democratic,John Edwards,58
Gardner,2,A,President,,Republican,Blank Votes,0
Hubbardston,-,1,President,,Democratic,Wesley K. Clark,1
Webster,-,1,President,,Libertarian,Blank Votes,0
Stoughton,-,5,President,,Democratic,All Others,0
Plymouth,-,4,President,,Republican,All Others,2
Medfield,-,3,President,,Democratic,Howard Dean,9
Somerset,-,5,President,,Democratic,John Edwards,39
Saugus,-,8,President,,Democratic,No Preference,0
Springfield,2,E,President,,Libertarian,Jeffrey Diket,0
Lexington,-,6,President,,Republican,George W. Bush,134
Lawrence,D,3,President,,Libertarian,Michael Badnarik,0
Newburyport,1,1,President,,Libertarian,No Preference,0
Fitchburg,5,A,President,,Green-Rainbow,Blank Votes,0
Springfield,4,G,President,,Democratic,Wesley K. Clark,0
Barnstable,-,3,President,,Democratic,Carol Moseley Braun,1
Arlington,-,5,President,,Republican,Blank Votes,1
Newton,1,4,President,,Democratic,Blank Votes,7
Springfield,8,E,President,,Democratic,"Lyndon H. LaRouche, Jr.",1
